"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","2.500,81","2.455,80","2.530,73","2.416,27","0,02K","1,83%"
"01.12.2024","2.455,80","2.558,70","2.666,70","2.454,54","0,02K","-4,03%"
"01.11.2024","2.558,82","2.633,27","2.662,61","2.524,94","0,01K","-2,83%"
"01.10.2024","2.633,27","2.677,18","2.741,00","2.613,35","","-1,64%"
"01.09.2024","2.677,18","2.755,21","2.770,12","2.643,42","","-2,83%"
"01.08.2024","2.755,22","2.579,02","2.780,71","2.483,44","","6,83%"
"01.07.2024","2.579,02","2.500,61","2.612,71","2.497,69","","3,13%"
"01.06.2024","2.500,65","2.461,08","2.510,57","2.391,75","0,01K","1,61%"
"01.05.2024","2.461,08","2.537,36","2.609,46","2.458,38","","-3,01%"
"01.04.2024","2.537,36","2.558,54","2.599,42","2.481,06","","-0,83%"
"01.03.2024","2.558,54","2.581,44","2.595,54","2.512,60","","-0,88%"
"01.02.2024","2.581,33","2.556,35","2.639,18","2.534,46","","0,98%"
"01.01.2024","2.556,37","2.671,27","2.671,38","2.514,95","","-4,30%"
"01.12.2023","2.671,27","2.532,18","2.674,85","2.492,98","","5,49%"
"01.11.2023","2.532,17","2.255,93","2.534,17","2.255,93","","12,26%"
"01.10.2023","2.255,67","2.321,09","2.335,04","2.226,43","","-2,82%"
"01.09.2023","2.321,08","2.290,58","2.379,52","2.259,97","","1,33%"
"01.08.2023","2.290,58","2.402,03","2.411,16","2.249,55","","-4,64%"
"01.07.2023","2.401,99","2.326,18","2.425,61","2.278,49","","3,26%"
"01.06.2023","2.326,22","2.132,79","2.373,86","2.132,44","","9,07%"
"01.05.2023","2.132,71","2.077,20","2.205,09","2.008,47","","2,67%"
"01.04.2023","2.077,34","2.034,91","2.157,51","1.996,21","","2,09%"
"01.03.2023","2.034,90","2.100,98","2.130,05","1.940,54","","-3,14%"
"01.02.2023","2.100,96","2.260,85","2.262,66","2.100,96","","-7,07%"
"01.01.2023","2.260,84","2.182,85","2.290,35","2.074,18","","3,57%"
"01.12.2022","2.182,87","2.239,22","2.265,15","2.021,78","","-2,52%"
"01.11.2022","2.239,37","2.296,02","2.373,76","2.128,85","","-2,47%"
"01.10.2022","2.296,00","2.177,23","2.401,71","2.177,23","","5,46%"
"01.09.2022","2.177,21","2.175,31","2.263,07","2.103,18","","0,09%"
"01.08.2022","2.175,31","2.055,69","2.270,77","2.024,95","","5,82%"
"01.07.2022","2.055,69","1.968,01","2.071,88","1.893,63","","4,46%"
"01.06.2022","1.967,99","2.213,63","2.241,15","1.943,98","","-11,10%"
"01.05.2022","2.213,61","2.136,89","2.238,38","2.031,81","","3,59%"
"01.04.2022","2.136,90","2.374,22","2.402,82","2.132,67","","-10,00%"
"01.03.2022","2.374,22","2.245,10","2.390,63","2.145,11","","5,75%"
"01.02.2022","2.245,08","2.203,51","2.287,67","2.158,42","","1,88%"
"01.01.2022","2.203,71","2.061,33","2.227,36","1.992,67","","6,91%"
