"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","51.913,51","50.967,05","52.552,49","50.133,08","0,02K","1,86%"
"01.12.2024","50.967,02","53.303,83","55.535,23","50.907,45","0,02K","-4,38%"
"01.11.2024","53.303,91","54.901,95","55.572,76","52.553,22","0,01K","-2,91%"
"01.10.2024","54.900,43","55.754,25","57.086,47","54.445,59","","-1,53%"
"01.09.2024","55.754,20","57.461,60","57.822,25","55.036,57","","-2,97%"
"01.08.2024","57.461,70","53.907,40","58.070,90","51.942,30","","6,60%"
"01.07.2024","53.906,40","52.387,30","54.807,20","52.318,40","","2,90%"
"01.06.2024","52.388,10","51.611,20","52.633,10","50.086,50","0,01K","1,51%"
"01.05.2024","51.611,23","53.304,77","54.864,65","51.527,47","","-3,18%"
"01.04.2024","53.304,46","54.026,97","54.837,83","52.136,66","","-1,34%"
"01.03.2024","54.026,97","54.425,93","54.725,62","52.994,14","","-0,73%"
"01.02.2024","54.423,74","53.904,67","55.586,41","53.366,98","","0,96%"
"01.01.2024","53.905,00","56.449,75","56.452,44","53.041,54","","-4,51%"
"01.12.2023","56.449,62","53.515,32","56.540,30","52.787,43","","5,48%"
"01.11.2023","53.515,32","47.626,45","53.544,87","47.626,45","","12,38%"
"01.10.2023","47.621,19","49.108,71","49.311,09","46.973,58","","-3,03%"
"01.09.2023","49.108,50","48.698,38","50.452,46","47.757,83","","0,84%"
"01.08.2023","48.697,59","51.264,54","51.541,01","47.987,68","","-5,01%"
"01.07.2023","51.263,88","49.616,44","51.737,44","48.647,55","","3,32%"
"01.06.2023","49.616,33","45.574,71","50.655,96","45.574,71","","8,87%"
"01.05.2023","45.575,35","43.994,26","46.985,05","42.549,41","","3,59%"
"01.04.2023","43.994,42","43.161,11","45.752,91","42.269,26","","1,93%"
"01.03.2023","43.160,72","44.526,54","45.272,16","41.157,52","","-3,07%"
"01.02.2023","44.526,06","48.181,20","48.223,46","44.526,06","","-7,59%"
"01.01.2023","48.181,14","46.546,60","48.806,78","44.160,67","","3,51%"
"01.12.2022","46.546,89","47.798,70","48.323,34","43.082,54","","-2,63%"
"01.11.2022","47.801,70","49.334,85","51.017,01","45.487,69","","-3,11%"
"01.10.2022","49.334,78","46.735,41","51.423,92","46.735,41","","5,57%"
"01.09.2022","46.730,97","46.754,01","48.638,80","45.138,15","","-0,05%"
"01.08.2022","46.753,63","44.044,97","48.800,47","43.377,69","","6,15%"
"01.07.2022","44.044,97","42.189,44","44.389,24","40.642,30","","4,40%"
"01.06.2022","42.188,99","47.705,50","48.340,18","41.787,55","","-11,56%"
"01.05.2022","47.705,44","46.211,94","48.288,12","43.768,56","","3,23%"
"01.04.2022","46.211,94","51.410,76","52.118,84","46.156,48","","-10,11%"
"01.03.2022","51.410,77","48.520,59","51.784,86","46.276,53","","5,96%"
"01.02.2022","48.520,15","47.822,21","49.531,54","46.724,40","","1,46%"
