"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","1.799,58","1.763,89","1.820,31","1.724,49","0,02K","2,02%"
"01.12.2024","1.763,94","1.913,86","1.982,48","1.747,45","0,02K","-7,83%"
"01.11.2024","1.913,85","2.003,56","2.057,97","1.856,97","0,01K","-4,48%"
"01.10.2024","2.003,57","2.031,37","2.069,58","1.968,08","","-1,37%"
"01.09.2024","2.031,36","2.124,99","2.165,46","2.011,57","","-4,41%"
"01.08.2024","2.124,99","2.033,53","2.209,81","1.983,47","","4,51%"
"01.07.2024","2.033,32","2.003,45","2.154,30","1.988,09","","1,49%"
"01.06.2024","2.003,45","2.011,32","2.038,51","1.902,85","0,01K","-0,39%"
"01.05.2024","2.011,32","2.081,83","2.174,18","1.998,70","","-3,38%"
"01.04.2024","2.081,74","2.256,78","2.262,96","2.045,47","","-7,76%"
"01.03.2024","2.256,78","2.209,23","2.280,01","2.184,01","","2,15%"
"01.02.2024","2.209,21","2.198,82","2.231,22","2.116,54","","0,47%"
"01.01.2024","2.198,82","2.352,97","2.352,97","2.154,40","","-6,55%"
"01.12.2023","2.352,98","2.198,05","2.368,01","2.193,00","","7,05%"
"01.11.2023","2.198,05","1.954,47","2.214,46","1.954,47","","12,46%"
"01.10.2023","1.954,44","2.110,62","2.110,68","1.915,06","","-7,40%"
"01.09.2023","2.110,60","2.172,34","2.253,91","2.026,66","","-2,84%"
"01.08.2023","2.172,29","2.346,55","2.399,44","2.164,53","","-7,43%"
"01.07.2023","2.346,55","2.275,53","2.355,85","2.210,51","","3,12%"
"01.06.2023","2.275,52","2.103,45","2.313,06","2.103,45","","8,17%"
"01.05.2023","2.103,65","1.852,69","2.131,00","1.809,75","","13,54%"
"01.04.2023","1.852,73","1.818,03","1.920,06","1.762,53","","1,91%"
"01.03.2023","1.818,03","1.850,27","1.957,88","1.723,72","","-1,74%"
"01.02.2023","1.850,27","2.067,69","2.094,82","1.850,25","","-10,52%"
"01.01.2023","2.067,73","2.009,01","2.105,88","1.870,05","","2,92%"
