"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","12.478,74","11.830,29","12.661,19","11.625,07","0,02K","5,49%"
"01.12.2024","11.829,57","12.071,44","12.746,66","11.697,41","0,02K","-2,00%"
"01.11.2024","12.071,37","13.094,47","13.278,96","11.860,92","0,01K","-7,81%"
"01.10.2024","13.094,05","13.396,77","13.635,25","13.076,50","","-2,20%"
"01.09.2024","13.389,02","14.186,98","14.531,56","13.308,66","","-5,73%"
"01.08.2024","14.203,47","12.538,48","14.387,21","12.244,00","","13,28%"
"01.07.2024","12.538,48","12.163,44","12.847,04","12.110,92","","3,08%"
"01.06.2024","12.163,37","12.100,29","12.433,74","11.935,48","0,01K","0,52%"
"01.05.2024","12.100,27","12.514,86","13.037,13","12.100,27","","-3,31%"
"01.04.2024","12.514,70","13.233,99","13.398,55","12.381,47","","-5,35%"
"01.03.2024","13.221,58","13.218,57","13.480,13","12.984,34","","0,02%"
"01.02.2024","13.218,47","13.167,85","13.820,11","12.986,17","","0,38%"
"01.01.2024","13.167,85","13.803,27","13.805,85","13.069,92","","-4,61%"
"01.12.2023","13.803,59","12.851,27","13.806,39","12.722,26","","7,41%"
"01.11.2023","12.851,27","11.043,06","12.884,27","11.043,06","","16,37%"
"01.10.2023","11.043,08","11.366,17","11.583,06","11.001,65","","-2,84%"
"01.09.2023","11.366,16","11.574,73","11.802,78","11.020,81","","-1,80%"
"01.08.2023","11.574,73","12.377,94","12.538,16","11.483,43","","-6,49%"
"01.07.2023","12.378,19","12.223,88","12.596,14","11.883,91","","1,26%"
"01.06.2023","12.223,63","11.088,63","12.468,81","11.088,63","","10,24%"
"01.05.2023","11.088,63","10.460,71","11.508,74","10.124,29","","6,00%"
"01.04.2023","10.460,72","9.697,63","10.588,78","9.487,83","","7,87%"
"01.03.2023","9.697,20","9.824,39","10.157,08","9.184,42","","-1,29%"
"01.02.2023","9.824,32","10.403,47","10.497,27","9.779,31","","-5,57%"
"01.01.2023","10.403,47","10.252,60","10.641,08","9.532,56","","1,46%"
"01.12.2022","10.253,49","10.252,04","10.442,34","9.003,39","","0,01%"
"01.11.2022","10.252,01","11.714,53","12.047,12","9.779,31","","-12,48%"
"01.10.2022","11.714,45","10.959,26","12.130,27","10.959,10","","6,89%"
"01.09.2022","10.959,09","10.630,50","11.450,33","10.512,69","","3,09%"
"01.08.2022","10.630,55","9.664,80","11.150,42","9.519,48","","9,99%"
"01.07.2022","9.664,80","9.329,23","9.799,13","8.849,77","","3,60%"
"01.06.2022","9.328,54","10.702,03","10.715,59","9.223,32","","-12,83%"
"01.05.2022","10.702,03","10.072,73","10.781,83","9.618,00","","6,25%"
"01.04.2022","10.072,71","11.441,23","11.606,24","10.072,71","","-11,96%"
"01.03.2022","11.441,15","10.639,97","11.643,34","9.954,21","","7,53%"
"01.02.2022","10.639,97","10.781,64","11.017,77","10.326,54","","-1,31%"
"01.01.2022","10.781,53","9.205,70","10.846,76","9.021,13","","17,12%"
"01.12.2021","9.205,71","9.574,55","10.095,29","9.157,87","","-3,84%"
"01.11.2021","9.573,13","9.779,13","10.418,15","9.431,28","","-2,11%"
"01.10.2021","9.779,05","10.363,79","10.854,95","9.761,37","","-5,65%"
"01.09.2021","10.364,93","11.445,27","11.593,64","10.140,42","","-9,44%"
"01.08.2021","11.445,27","11.713,85","12.119,72","10.971,70","","-2,29%"
"01.07.2021","11.713,83","12.193,03","12.497,45","11.688,43","","-3,93%"
"01.06.2021","12.193,03","12.248,19","13.129,42","12.146,72","","-0,45%"
"01.05.2021","12.248,19","11.461,88","12.264,89","11.213,33","","6,87%"
"01.04.2021","11.461,30","11.371,77","11.771,82","11.101,62","","0,79%"
"01.03.2021","11.371,36","10.691,08","11.493,54","10.231,14","","6,36%"
"01.02.2021","10.690,92","11.478,41","12.080,24","10.687,06","","-6,86%"
"01.01.2021","11.477,96","12.281,87","12.666,28","11.248,31","","-6,50%"
"01.12.2020","12.276,50","10.924,47","12.483,96","10.924,47","","12,39%"
"01.11.2020","10.923,15","9.341,74","11.309,38","9.341,74","","16,93%"
"01.10.2020","9.341,44","9.344,98","10.479,79","9.247,46","","-0,03%"
"01.09.2020","9.344,67","9.995,42","10.536,68","9.230,49","","-6,49%"
"01.08.2020","9.993,37","10.850,49","11.074,51","9.896,77","","-7,90%"
"01.07.2020","10.850,73","9.928,53","11.377,79","9.928,53","","9,31%"
"01.06.2020","9.926,25","8.779,37","10.513,18","8.712,77","","13,06%"
"01.05.2020","8.779,31","8.410,37","9.144,17","7.369,92","","4,38%"
"01.04.2020","8.410,76","8.115,87","9.198,56","7.369,02","","3,62%"
"01.03.2020","8.116,88","12.047,90","12.223,80","6.817,25","","-32,63%"
"01.02.2020","12.048,72","12.723,30","13.163,38","11.550,24","","-5,30%"
"01.01.2020","12.722,87","13.221,25","13.646,50","12.617,96","","-3,77%"
"01.12.2019","13.220,73","12.545,49","13.505,07","12.545,49","","5,38%"
"01.11.2019","12.545,49","12.846,20","13.121,07","12.231,24","","-2,34%"
"01.10.2019","12.846,17","12.246,31","13.167,24","11.543,42","","4,91%"
"01.09.2019","12.245,31","11.993,92","12.537,24","11.614,40","","2,09%"
"01.08.2019","11.994,70","11.854,86","12.444,13","11.369,39","","1,18%"
"01.07.2019","11.854,86","12.005,60","12.796,73","11.793,44","","-1,25%"
"01.06.2019","12.005,39","11.629,72","12.152,08","11.256,22","","3,24%"
"01.05.2019","11.628,26","11.138,51","11.753,46","10.280,80","","4,36%"
"01.04.2019","11.142,39","11.004,60","11.257,55","10.542,98","","1,25%"
"01.03.2019","11.004,44","11.229,68","11.789,20","10.467,22","","-2,01%"
"01.02.2019","11.229,68","11.522,26","11.760,17","11.033,54","","-2,53%"
"01.01.2019","11.521,56","10.126,79","11.647,44","10.117,43","","13,77%"
"01.12.2018","10.126,83","10.087,27","10.257,35","9.592,60","","0,40%"
"01.11.2018","10.086,09","9.431,77","10.241,05","9.252,62","","6,96%"
