"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","26.094,41","25.991,68","26.206,69","25.196,09","0,02K","0,40%"
"01.12.2024","25.991,64","27.020,80","28.717,60","25.991,45","0,02K","-3,81%"
"01.11.2024","27.020,80","26.281,98","27.065,39","26.171,03","0,01K","2,81%"
"01.10.2024","26.282,44","25.888,18","26.779,28","25.429,34","","1,52%"
"01.09.2024","25.888,12","26.161,47","26.421,54","25.274,40","","-1,04%"
"01.08.2024","26.160,35","24.543,93","26.509,66","23.430,09","","6,59%"
"01.07.2024","24.543,10","23.502,05","24.632,40","23.343,85","","4,43%"
"01.06.2024","23.501,85","22.169,60","23.671,92","21.751,50","0,01K","6,01%"
"01.05.2024","22.170,02","22.554,82","23.507,58","22.107,60","","-1,71%"
"01.04.2024","22.554,63","23.333,11","23.495,39","22.174,80","","-3,34%"
"01.03.2024","23.333,11","22.083,69","23.510,41","22.075,82","","5,66%"
"01.02.2024","22.083,56","21.172,88","22.506,90","20.932,82","","4,30%"
"01.01.2024","21.172,85","22.699,65","22.709,04","20.868,58","","-6,73%"
"01.12.2023","22.699,65","21.419,77","22.777,91","21.323,44","","5,97%"
"01.11.2023","21.420,46","19.243,48","21.516,09","19.242,10","","11,31%"
"01.10.2023","19.243,48","20.391,77","20.442,15","18.883,99","","-5,63%"
"01.09.2023","20.391,45","20.629,65","21.030,32","20.119,94","","-1,15%"
"01.08.2023","20.628,58","21.902,82","22.396,07","20.584,98","","-5,82%"
"01.07.2023","21.902,71","20.775,46","21.927,45","20.325,70","","5,43%"
"01.06.2023","20.775,30","19.787,07","21.260,99","19.724,70","","5,00%"
"01.05.2023","19.786,43","19.042,74","20.402,25","18.710,06","","3,91%"
"01.04.2023","19.042,75","19.195,11","19.690,32","18.375,66","","-0,79%"
"01.03.2023","19.194,87","19.486,87","20.042,61","18.537,29","","-1,50%"
"01.02.2023","19.487,67","20.285,48","20.315,30","19.073,94","","-3,94%"
"01.01.2023","20.286,10","20.032,76","20.607,38","19.422,60","","1,26%"
"01.12.2022","20.032,94","20.819,66","21.012,58","19.327,81","","-3,78%"
"01.11.2022","20.820,16","21.269,55","21.998,72","20.512,17","","-2,11%"
"01.10.2022","21.269,26","19.543,69","21.323,86","19.543,69","","8,83%"
"01.09.2022","19.543,69","19.740,03","20.563,51","18.926,18","","-1,00%"
"01.08.2022","19.740,30","19.882,69","21.228,32","19.540,24","","-0,72%"
"01.07.2022","19.882,69","18.876,02","19.993,85","18.686,07","","5,34%"
"01.06.2022","18.875,38","21.258,82","21.733,93","18.550,80","","-11,21%"
"01.05.2022","21.258,78","21.346,25","21.548,47","19.965,00","","-0,41%"
"01.04.2022","21.346,07","23.745,08","24.002,15","21.318,00","","-10,10%"
"01.03.2022","23.744,78","22.371,25","23.907,67","21.694,90","","6,14%"
"01.02.2022","22.371,64","23.545,12","23.751,84","21.362,91","","-4,98%"
"01.01.2022","23.545,18","24.323,12","24.479,28","22.768,83","","-3,20%"
