ref.date,cambio_usd,cambio_eur,cambio_gbp,cambio_ars,cambio_jpy,juros_selic,juros_cdi,credito_agro,credito_industria_total,credito_construcao,credito_comercio,credito_transporte,credito_pessoa_fisica,spread_icc_juridica,spread_icc_fisica,veiculos_automoveis,veiculos_leves,veiculos_caminhoes,veiculos_onibus,consumo_gasolina,consumo_glp,consumo_oleo_combustivel,consumo_oleo_diesel,consumo_demais_derivados,consumo_alcool,consumo_eletricidade_comecial,consumo_eletricidade_residencial,consumo_eletricidade_industrial,consumo_eletricidade_outros,producao_bens_consumo,producao_bens_duraveis,producao_bens_nao_duraveis,producao_bens_capital,producao_transformacao,capacidade_instalada_industria,vendas_varejo,vendas_servicos,trab_caged,trab_pop_forca_trab,trab_pop_ocupada,trab_tx_desemprego,trab_hrs_trabalhadas_industria,trab_razao_vagas_desempregados,price_ipca,price_igp_m,price_ipc,price_incc,price_inpc,price_ipp,indice_commodity_agro,indice_commodity_metal,indice_commodity_energia,trab_menos_de_1_mes,trab_de_1_mes_a_menos_de_1_ano,trab_de_1_ano_a_menos_de_2_anos,trab_x2_anos_ou_mais,asset_MLCX,asset_ibrx100,asset_ifix,asset_ifnc,asset_imat,asset_imob,asset_indx,asset_smll,titulo_0_25ano,titulo_1ano,titulo_2ano,titulo_3ano,titulo_5ano,retorno_mensal
2013-11-01,2.2905238015311107,3.091947623661586,3.684180952253796,0.3815342826502664,0.022923809609242847,9.45,9.33,25336,682953,106633,285332,123488,1227984,7.17,17.38,223029,65155,11591,3144,563,228,93,1068,128,419,7382,10711,15810,6017,134.2,167.2,126.4,127.3,124.6,82.1,103.19,101.19,41226346,98465,88915,6.6,108.3,6.343793287570264,0.54,0.29,0.68,0.35,0.54,0.64440337111118,139.12,144.34,75.93,830.2390138244616,3195.7447678545363,996.1077466601582,1128.219062876312,-0.022089083140991006,-0.02012469784410087,-0.008031761647108504,-0.04853213028169023,0.009284237265007489,-0.06154252858370224,0.0074794748919435605,-0.009640542308378408,0.10070764830097087,0.1077614592248689,0.11620297428799432,0.12264535774355738,0.1306819647895923,0.008006280074304595
2013-12-01,2.3434545560316606,3.2107772502032192,3.834059075875716,0.3709895461797714,0.022653181698511948,9.9,9.78,25795,708373,107867,289883,126179,1249372,7,16.88,258353,77572,14341,3547,588,224,83,907,132,442,7572,10706,15321,5957,111.2,127.2,107.4,95.7,103.6,81.9,131.46,107.58,40718639,98321,89065,6.3,105.8,6.57364757452226,0.92,0.6,0.69,0.1,0.72,0.600888025170376,141.76,147.96,82.52,830.5486186670508,3197.4487072374054,996.1120379479671,1128.5283199774315,-0.032752144306289366,-0.030793374527103068,-0.026188840168027805,-0.044207546253356544,0.04374775749192694,-0.049197876026423004,0.0013871984819879835,-0.01737479266581099,0.10054500540358377,0.10714340398560201,0.11666108540982748,0.12451106081052075,0.13472287026269145,0.00855061969398041
2014-01-01,2.376321730406388,3.2402000116265337,3.9115391192228897,0.3409878248753755,0.022838695703641228,10.17,10.05,25387,705112,107896,283081,128546,1263128,6.96,17.02,255437,44300,10716,2140,546,214,90,926,136,406,7745,11798,14537,6200,113.5,145.1,106.1,112.3,107.5,81.7,100.39,97.63,40781877,98233,88762,6.5,107.5,6.386993090994801,0.55,0.48,0.99,0.88,0.63,1.42808826532064,144.83,149.5,83.66,1024.3615173610174,3756.9204804716123,1034.6272748455583,1316.3867793155925,-0.08106536524583352,-0.08146695844916996,-0.06740379719211465,-0.07452436149977981,-0.0898515344758869,-0.09142891002281284,-0.08289729412449631,-0.0848813051846874,0.10494809923432633,0.11837318280508215,0.12688339070033702,0.13067776387331975,0.13351685477484185,0.009169887657703768
2014-02-01,2.38125,3.25249502658844,3.937394988536835,0.30339750051498415,0.023315500281751157,10.43,10.32,25417,709587,108950,285519,128822,1270206,7.02,17.45,204155,41749,10363,3058,578,223,110,1051,129,431,8204,11879,15107,6353,116.7,160.2,106.4,126.5,108.4,82.2,91.99,94.78,41083271,98416,88597,6.8,108.9,6.138897638595349,0.69,0.38,0.66,0.33,0.64,0.520437514075955,151.74,150.76,85.28,1026.2382698432084,3764.879687307499,1035.4908324261532,1318.4316699695617,-0.0018757486044883587,-0.0031810450208361596,0.037736732083242464,0.03830163320590518,-0.09977283301858386,0.03030945315811784,-0.029105461426350288,-0.009949003013078994,0.10348894340274872,0.11203651965746271,0.11828817075635197,0.12163415578212665,0.12480425084149013,0.00844770914635018
2014-03-01,2.3230499896136196,3.2085908868096094,3.8591636310924184,0.29311545193195343,0.022704545323821632,10.65,10.56,25506,718321,110130,286927,128033,1281603,6.97,17.42,189961,38739,9234,2859,541,218,101,977,125,375,7744,11289,15083,6130,118.8,153.5,110.6,119.6,113.4,81.3,96.71,98.55,41118376,98597,88537,7.2,105.9,5.792149411803153,0.92,1.67,0.85,0.28,0.82,-0.205084331771899,154.33,145.86,81.71,1021.3115455251069,3761.500643117194,1036.7958099469163,1314.6757774675573,0.06948784132590702,0.06894974147821831,0.004246779212579321,0.1111245422905871,7.722336401998486e-4,0.055908091086038114,0.0255668230501771,0.043551201746769186,0.10305385918958535,0.11496464524834932,0.12243611402616089,0.12571460066660187,0.12810483884286833,0.008474835152645577
2014-04-01,2.2270818190141157,3.0756681615656074,3.727727250619368,0.2783427279103886,0.021742272868075153,10.87,10.77,25548,723505,111799,288238,128205,1294198,6.97,17.42,234956,44771,10896,2606,592,230,110,1024,127,406,7588,10780,15261,5922,118.2,151.1,110.4,116.6,112,81.3,96.36,98.58,41251091,98832,88779,7.2,106.3,5.797027475356609,0.67,0.78,0.77,0.88,0.78,-0.411524163044763,149.81,142.47,79.89,857.9460606125311,3708.9667553246727,1092.0092865536662,1195.7836859510692,0.030485868529691817,0.027088442274225688,0.010994932900222354,0.06299012719508967,-0.08107057143725116,-0.0244132721877528,-0.015598704314555567,-0.010162782243405832,0.10353543987958266,0.11489003938933784,0.12159442695233769,0.12424780389762809,0.1258265118873973,0.009075896613104373
2014-05-01,2.216776200703212,3.04658571879069,3.7322047437940324,0.2760066673869178,0.02177047623055322,10.9,10.8,25514,734012,113783,288367,129233,1311184,6.98,17.36,232623,45263,12775,2683,566,236,102,1041,127,390,7304,10877,14943,5977,124.7,147.4,119.4,118,118.5,81.5,101.35,100.64,41337763,98864,89033,7.1,106.1,5.889120550296439,0.46,-0.13,0.52,2.05,0.6,-0.264618720645371,146.61,140.9,78.96,862.7867362218668,3710.0640084194156,1090.363869942385,1199.1900056632446,-0.012912172573189551,-0.01115232431573876,0.013688590127039602,-0.02227059897143735,-0.01947871622961883,-0.00815705792893695,-0.007087662020813346,0.010699682518954923,0.1063740965697066,0.1125039815496848,0.11663876178224647,0.1186482521583547,0.12034870387816149,0.00958043413675913
2014-06-01,2.2307000051845205,3.0347227399999444,3.769236369566484,0.274787729436701,0.021861363456330517,10.9,10.8,25441,745003,114449,290429,129213,1324777,7.04,17.56,211418,39201,10701,2237,543,234,92,987,129,381,6862,10322,14683,5859,109.8,106.7,110.5,100.2,109.8,81,93.65,98.27,41388336,98979,89189,6.9,100.9,6.060184044309794,0.4,-0.74,0.33,0.66,0.26,-0.157992639395677,144.63,142.82,80.23,859.4738921872716,3710.726492173611,1091.6092753543724,1197.1377521592885,0.03683931191658085,0.03625404333137916,0.013423406974621077,0.0536070603782719,-8.159356961752184e-4,0.023572778242418657,0.02276307406934186,0.027584424813062336,0.10799606948816436,0.1106277810016748,0.11437092460094818,0.11743135162589306,0.12138223678238856,0.009054714255264829
2014-07-01,2.220173929048621,3.0071434767349907,3.788321743840757,0.2725804370382558,0.021819130396065506,10.9,10.8,25356,746028,114323,285423,130313,1333060,6.92,17.38,234608,45181,12372,2596,555,250,95,1052,135,391,6773,10556,14554,5902,126.9,140.5,123.7,119.3,121.4,81.4,97.24,101.37,41419519,98970,89192,7,104.4,5.978654281961344,0.01,-0.61,0.1,0.75,0.13,-0.27986439150105,141.69,147.1,75.37,782.1855250334913,3752.684263547738,1121.5577375735577,1154.9965842701392,0.05119789627934512,0.04459042132703095,0.015703033229319097,0.04810603943776259,0.06266914121815415,0.0030867933664204816,0.016102640354272113,-0.03354707907020604,0.10804351408952834,0.11087759671530904,0.11415924908608441,0.11661816953021298,0.11964635473557765,0.010342748033750349
2014-08-01,2.2624428499312628,3.0128380911690846,3.7765952291942777,0.27248857276780264,0.02196761912533215,10.9,10.82,25537,755252,115139,285206,130368,1348138,6.94,17.38,217040,42070,10828,2510,564,240,121,1086,130,403,6989,10542,15134,5986,128.5,147.4,124.1,117.2,123.3,81.1,100.21,100.76,41550423,98966,89155,7,102.5,5.997791882349205,0.25,-0.27,0.12,0.08,0.18,0.486984083378572,138.89,149.81,75.34,784.2931533399774,3752.580456164215,1121.1926151919786,1156.2137991837678,0.0970649454809327,0.09589548672438908,0.0026110031076611584,0.13424621284679783,-0.03274461612716795,0.11152175224763172,0.06182158029179208,0.07535878359149506,0.1080903088474268,0.11228319323948872,0.11394601637315738,0.11402006025788591,0.11327887019127113,0.009632907447870265
