date,cambio_BRL,cambio_EURBRL,cambio_CNYBRL,cambio_GBPBRL,cambio_CADBRL,cambio_RUBBRL,cambio_JPYBRL
2003-12-01,2.9230000972747803,3.462100028991699,NA,NA,NA,NA,NA
2003-12-02,2.930999994277954,3.41510009765625,NA,NA,NA,NA,NA
2003-12-03,2.930999994277954,3.4798998832702637,NA,NA,NA,NA,NA
2003-12-04,2.943000078201294,3.459700107574463,NA,NA,NA,NA,NA
2003-12-05,2.934000015258789,3.4793999195098877,NA,NA,NA,NA,NA
2003-12-08,2.940000057220459,3.507499933242798,NA,NA,NA,NA,NA
2003-12-09,2.933000087738037,3.526099920272827,NA,NA,NA,NA,NA
2003-12-10,2.941999912261963,3.5146000385284424,NA,NA,NA,NA,NA
2003-12-11,2.936000108718872,3.496500015258789,NA,NA,NA,NA,NA
2003-12-12,2.934999942779541,3.5250000953674316,NA,NA,NA,NA,NA
2003-12-15,2.9189999103546143,3.5064001083374023,NA,NA,NA,NA,NA
2003-12-16,2.936000108718872,3.522900104522705,NA,NA,NA,NA,NA
2003-12-17,2.930000066757202,3.546799898147583,NA,NA,NA,NA,NA
2003-12-18,2.931999921798706,3.5571999549865723,NA,NA,NA,NA,NA
2003-12-19,2.9230000972747803,3.5576000213623047,NA,NA,NA,NA,NA
2003-12-22,2.9189999103546143,3.5564000606536865,NA,NA,NA,NA,NA
2003-12-23,2.9070000648498535,3.544300079345703,NA,NA,NA,NA,NA
2003-12-24,2.9070000648498535,NA,NA,NA,NA,NA,NA
2003-12-25,2.9070000648498535,NA,NA,NA,NA,NA,NA
2003-12-26,2.9010000228881836,NA,NA,NA,NA,NA,NA
2003-12-29,2.859999895095825,3.5490000247955322,NA,NA,NA,NA,NA
2003-12-30,2.9010000228881836,3.5176000595092773,NA,NA,NA,NA,NA
2003-12-31,2.9010000228881836,3.5176000595092773,NA,NA,NA,NA,NA
2004-01-01,2.9010000228881836,NA,NA,NA,NA,NA,NA
2004-01-02,2.875999927520752,3.5597000122070313,NA,NA,NA,NA,NA
2004-01-05,2.8529999256134033,3.5634000301361084,NA,NA,NA,NA,NA
2004-01-06,2.865999937057495,3.54259991645813,NA,NA,NA,NA,NA
