ref.date,cambio_usd,cambio_eur,cambio_gbp,cambio_ars,cambio_jpy,juros_selic,juros_cdi,juros_cdb_rdb,credito_agro,credito_industria_total,credito_construcao,credito_comercio,credito_transporte,credito_pessoa_fisica,spread_icc_juridica,spread_icc_fisica,veiculos_automoveis,veiculos_leves,veiculos_caminhoes,veiculos_onibus,consumo_gasolina,consumo_glp,consumo_oleo_combustivel,consumo_oleo_diesel,consumo_demais_derivados,consumo_alcool,consumo_eletricidade_comecial,consumo_eletricidade_residencial,consumo_eletricidade_industrial,consumo_eletricidade_outros,producao_bens_consumo,producao_bens_duraveis,producao_bens_nao_duraveis,producao_bens_capital,producao_transformacao,capacidade_instalada_industria,vendas_varejo,vendas_servicos,trab_caged,trab_pop_forca_trab,trab_pop_ocupada,trab_tx_desemprego,trab_hrs_trabalhadas_industria,trab_razao_vagas_desempregados,price_ipca,price_igp_m,price_ipc,price_incc,price_inpc,price_ipp,indice_commodity_agro,indice_commodity_metal,indice_commodity_energia,trab_menos_de_1_mes,trab_de_1_mes_a_menos_de_1_ano,trab_de_1_ano_a_menos_de_2_anos,trab_x2_anos_ou_mais,asset_ibrx100,asset_imat,asset_indx,asset_ifnc,asset_ifix,asset_imob,asset_MLCX,asset_smll,titulo_0_25ano,titulo_1ano,titulo_2ano,titulo_3ano,titulo_5ano
2013-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2478094768893,NA,NA,7.791935956938058,NA,5.39489544387947,NA,NA,NA,5.7657600865912,8.82318476827131,NA,NA,NA,4.76603890832385,145.246416563385,111.990673342193,NA,112.614601186302,NA,93.2257478413505,NA,NA,11.486160456450074,NA,NA,NA,NA,0.86,0.34,1.01,0.442353723564636,0.92,-0.0998242327321264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899.08,NA,NA,NA,NA,NA,NA,NA
2013-02-01,-0.05810590874065036,-0.05934499035710905,-0.18828827609186582,-0.016742782748263796,-0.0016471739939373405,NA,NA,-0.08999999999999997,-0.0035629491373523337,0.016097937189700318,NA,0.0037662739650983212,0.004692246294311531,0.01035141276860152,-0.07561466632436975,-0.05079334770390176,12.1852659753362,-0.1082434892277,-0.037721242976990865,7.874739125171811,-0.02967536004407023,5.40482546462133,-0.17081773231247066,0.04118354072397956,-0.01407997989375076,5.77997238478527,8.78772076333338,-0.01716878600929128,0.023017285923520703,-0.025752733172060616,4.71799944657146,131.712929398777,111.060793699809,11.937671722776997,110.779581407266,-0.7999999999999972,92.4598199099588,0.27493640862930135,0.0026809964668998987,11.487484572488276,-0.007019884492200035,0.6210359510605796,-0.01763386760106922,-0.32174440479960964,0.6,0.29,0.33,0.641402339689753,0.52,-0.350630545977504,-5.019999999999982,-4.27000000000001,-0.7999999999999972,0.06348566057679061,-8.628880607908229e-5,0.001465175643304839,0.00212157570435334,-636.9300000000003,-83.63000000000011,-370.0400000000009,42.099999999999454,-15.879999999999882,890.7800000000001,-30.050000000000068,2.869999999999891,0.0065480619645070515,0.006549134837832163,0.00541531999071844,0.004158593355990392,0.0023324522138273712
2013-03-01,0.01111955100839812,-0.06909591934897685,-0.06532637856223378,-0.004022000865502751,-2.586364068768304e-4,0.020000000000000462,0,0.08000000000000007,0.025962411944215447,0.016883228230598846,0.009325711711600349,0.015180023061601489,0.01107129534304363,0.013691950201000225,-0.03855971121040014,-0.2529669200511009,12.3291430184303,0.12454046479030012,0.17501225321863956,8.080856419640986,0.06633933704284001,5.38807241732212,-0.0923733201310144,0.03738570450621026,0.024689836831790046,5.8087125598716,8.85930809289714,0.01220346731065014,0.02440253899028022,0.03332838178246966,4.79672929116876,161.445203660697,112.11690978395,6.36591455354899,116.009582987095,0.29999999999999716,101.015874064294,3.603282760828506,0.004193048687302081,11.48816134982361,-0.0017271101588001159,0.17964709420200986,0.013023439886286958,-0.13388883162719978,0.47,0.21,0.72,0.554192966696712,0.6,0.0401019256122348,-1.1500000000000057,-7.759999999999991,0.4399999999999977,0.05799449133856971,-0.002698242734521017,-5.240819637259975e-4,-0.0015924672323128775,136.2400000000016,-47.92000000000007,-198.02000000000044,171.73000000000047,-18.560000000000173,843.52,11.779999999999973,-61.23999999999978,2.879863678385969e-4,4.1415589868327995e-4,9.237202872822287e-4,0.0014402400436006324,0.002173400615815127
2013-04-01,0.013827231797304718,0.03537273406982422,0.06950002366846286,-0.0019477267156948197,-4.5727244154972896e-4,0.07999999999999918,0.07999999999999918,0.06999999999999995,-0.002030794157953153,0.00999550343320088,-0.008113543087100439,0.0019199345679989932,0.014736646735459047,0.015753659633199746,-0.15732644032654974,-0.21235331072529817,12.3899752811918,0.05392507632990018,0.0027958889706809487,8.0040315078527,-0.006298429529169702,5.41047621185149,-0.055262678675049415,0.013955741722750048,-0.01939293672503961,5.80491784975741,8.89055100102612,0.02915127970928033,0.020730903412738755,0.008675303386571187,4.84307677059871,173.597144393612,116.154938601629,5.632589754142998,119.72646034057,0.4000000000000057,95.5201936894833,1.0253991367416972,0.004662643619898432,11.491160313182018,0.002720487195800203,-0.08191466037682016,0.030043224487791953,0.18959130649236933,0.55,0.15,0.52,-0.109863430874218,0.59,0.404636010930681,-1.7800000000000011,-7.430000000000007,1.269999999999996,-0.2294199091223703,-9.009917854303495e-4,-0.009628703839895891,-0.056824398997838976,168.34000000000015,-17.539999999999964,36.210000000000946,-123.03999999999996,-30.319999999999936,822.64,8.920000000000073,-3.130000000000109,0.005177799487630308,0.001100802215238908,-0.001675782506191728,-0.003044519548861091,-0.004226885687469456
2013-05-01,0.03398184884678224,0.034286358139732354,0.047095417976379395,-2.1818009289797935e-5,-3.4000021828847066e-4,0.05000000000000071,0.040000000000000924,-0.040000000000000036,0.00628620763196075,0.010848915814300142,0.00607605697970115,0.012767803923299681,0.025314695512683727,0.016311851819299505,-0.13270780708448005,-0.22128234370000044,12.3181599815787,-0.08404739861349952,-0.2034707093866306,7.971085753505607,-0.036752898033689974,5.39678992266215,0.0765400771223339,-0.025474597563809986,-0.021226599822069758,5.87719507163211,8.89618600937796,-3.3367044918009015e-4,0.005808882664400272,-9.187106424608515e-4,4.81574013908336,165.17542233432,114.392746750809,-5.646716717518984,118.691399063,-0.5,97.4624108050566,-0.17778676871149912,0.0024408646414002533,11.493385803095611,0.00356786620329963,-0.1490138778900194,-0.03374693242527638,0.0869259940715903,0.37,0,0.32,2.14577676886828,0.35,0.241792158795362,0.6699999999999875,-2.1699999999999875,0.3299999999999983,-0.023949029366639785,-0.011122118358709798,7.134915964659427e-4,0.0018397912424958918,-189.40999999999985,-153.73000000000002,-147.8000000000011,140.3199999999997,0.35999999999989996,785.91,-6.3799999999999955,-29.519999999999982,0.0019839320171263636,0.0026268401939213565,0.00390464938812439,0.005064599215372112,0.006644496290387034
2013-06-01,0.1307601593273544,0.2157342129455495,0.25049331797149765,0.018248116815244964,0.0020737664540221717,0.3200000000000003,0.3199999999999994,0.010000000000000009,0.01253652372823133,0.015050436959599622,-0.007510992308001008,0.021763884292900215,0.017234914498615694,0.014128880151499601,-0.11678430442584009,-0.2275333864051987,12.358137494717,0.08105653837600002,0.11085884624591102,7.875499292445208,-0.00629125784028961,5.4054440987208,-0.010582109330536937,-0.005145101975290167,0.008023483341749404,5.90457770988496,8.86729567879958,-0.0013170948855307785,-0.01733377335686015,-0.02058115957805029,4.75798101489765,154.300541604185,109.572106117883,-1.7686910690310071,111.79604603313,0.20000000000000284,98.3873160906436,-0.3347761423751052,0.00249757006560003,11.49518910147993,0.0028348201660008954,-0.07881883860796002,0.005550430530648853,0.035804953161879816,0.26,0.75,0.35,1.00131822071612,0.28,1.31932832144839,7.27000000000001,4.75,1.5,0.003999398644250363,0.010689189896030626,-0.0013019219837016038,-0.002194316408298924,-1950.4400000000023,-95.84999999999991,-529.0599999999977,-454.9599999999996,-111.59999999999991,711.39,-87.66999999999996,-145.5999999999999,0.005509403055193693,0.011143222509939071,0.013502435411134814,0.013743287094048276,0.012957540429383838
2013-07-01,0.08474578225587948,0.0885432452642152,0.05443889655435097,0.006968382167520049,3.693166919685083e-4,-0.15000000000000036,-0.1399999999999988,0.14,-0.011176960227020416,-3.8707940320037437e-4,-0.007546066926900963,-0.008200809120799235,0.012584641281728537,0.014427101536901077,-0.13907814725997003,-0.23243513580230157,12.3984832889994,0.015513914547199192,0.037957443610009634,8.053251153549096,-0.006791896777700757,5.44202652889599,-0.5359615970375327,0.012753795789319788,0.019385439068370758,5.90790521029218,8.84380832677128,-0.021490952915518946,0.014902410742839933,0.007734380538840568,4.79623727412718,159.864346933811,113.166241570952,1.0621785710889924,119.807866737916,-0.29999999999999716,100.900103217941,0.9823828068914082,0.0011305541108015404,11.496419996068342,0.002303014769999834,-0.0216672695043707,-0.0064785048432032255,0.06858697835528016,0.03,0.26,-0.17,0.57954348385874,-0.13,1.21278329689154,2.829999999999984,1.4099999999999966,2.4000000000000057,0.039616074916409616,-0.04374089787368085,-0.07503656847488749,-0.11431072894107519,339.83000000000175,109.1099999999999,272.9499999999989,11.859999999999673,-10.650000000000091,712.49,16.269999999999868,5.879999999999882,0.0016766488287048992,-6.889228012750825e-4,-8.546079795724582e-4,-3.126486444299248e-5,0.0016588334891683432
2013-08-01,0.09344469883920725,0.17860910956657206,0.21741349455239112,0.0066554259439432495,0.0014092545979511595,-0.11000000000000121,-0.1100000000000021,-0.020000000000000018,0.02077975681614319,0.016351908111699842,0.010399533208701683,0.015195876603000258,0.014520615383815993,0.013262556364798783,-0.1083598700949997,-0.1467297941440009,12.3905430508782,-0.008869556063000772,-0.06015275690026023,8.042699496897637,0.014618835064060143,5.49379650403023,0,0.030277545894140445,9.080863927595217e-4,5.95080769046675,8.83083299195179,0.0022972687071494136,0.003871563970310632,-2.9132753089022856e-4,4.81873897858219,165.625934370474,115.930964541057,3.4183224714230107,121.729033098577,0.09999999999999432,100.120452019426,0.051503309462091806,0.0027734469263975825,11.495891202214434,3.5477141629947084e-4,-0.05606533960389992,0.009242209964821058,0.08540149323560975,0.24,0.15,0.2,0.599604832812028,0.16,1.42708504125353,3.6200000000000045,14.990000000000009,1.8700000000000045,-0.011331612421029646,0.028206430351641387,0.0015306683436380197,0.0026866807059597875,371.3299999999981,203.1500000000001,537.0299999999988,26.820000000000164,-52.1099999999999,693.64,16.770000000000095,-25.689999999999827,0.004570338095187504,0.008333127874171106,0.010017939125346209,0.010299211600719671,0.009948560311776197
2013-09-01,-0.07316880824761984,-0.09464566686968778,-0.032450224414017015,-0.02393465479473017,-0.0011164285000655576,0.2300000000000022,0.2300000000000022,-0.020000000000000018,0.004827234925857127,-7.562314886992993e-4,9.90484938400371e-4,0.008075800311399206,-0.005047429007168702,0.010411399703301072,8.61768261219531e-4,-0.04030653828599995,12.2710022807436,-0.03326953660350007,0.002358502709789434,7.990238185720363,-0.03596152483037951,5.43409193521452,0.2831262559159198,-8.255121229101547e-4,-0.011922371699049528,5.97318619515165,8.82537935507123,-0.010003289967070117,-0.00733602833379976,0.008805981824819398,4.80828191449289,159.378053820863,115.355707423383,-2.926446408055,121.1995698378,-0.29999999999999716,97.6553373755578,-0.0767441871577006,0.004082313948202909,11.496328494062858,9.673788652992954e-4,-5.172494074194844e-4,-0.01482881667346092,0.05126558808685999,0.35,1.5,0.3,0.652154100625173,0.27,0.574827881419093,-3.509999999999991,-4.460000000000008,0.6799999999999926,0.009389623632329425,0.028699025937548583,-1.8298904095903623e-4,-1.285402922430734e-4,1009.5200000000004,-7.480000000000018,200.96000000000095,324.6100000000006,25.930000000000064,759.1800000000001,45.289999999999964,67.20999999999981,0.001801865911833303,-0.001270205112316819,-0.002687329797692775,-0.0029588982002662356,-0.002726669118069902
2013-10-01,-0.08339308866690764,-0.044081796299327625,-0.07974545522169585,-0.02163636142557318,-5.186365239999505e-4,-0.10000000000000142,-0.010000000000001563,0.13,0.008113391561888506,-0.002572349143500574,-0.0044560661567008,-0.018927620327000128,0.0036197703734526243,0.00571073129359867,-0.0246595686239397,0.3728956534394996,12.2672103502114,-0.06851514314589835,-0.09323056840307942,8.065265208897733,-0.05083937191753041,5.46101141096436,0.1283811666482073,0.11103351473700052,4.782733544699269e-4,5.9560942641162,8.83471361519972,0.0038855806379611835,0.024905852267380624,0.013538441886780106,5.00265444899232,192.380243323676,135.8205558488,24.89411363133499,140.322868001916,0.09999999999999432,77.8127902168796,-4.522823029848098,0.01234708895989911,11.495606351199761,-1.4907461799928967e-4,0.010600467961699778,0.018501915385321865,0.04364088300019997,0.57,0.86,0.55,0.54337267064189,0.61,-0.446691298712665,-4.189999999999998,-3.460000000000008,-1.75,-0.034730595040879386,-0.15558573165241896,0.02565445814901679,-0.0497250654959025,1141.1500000000015,156.86000000000013,71.5,330.3899999999994,22.169999999999845,756.55,58.14999999999998,-14.740000000000009,0.003782735406857224,0.003967529189492752,0.001784888195444978,-7.382578037968823e-4,-0.004485189778953874
