Índice,Data de Referência,Número Índice,Variação Diária (%),Variação no Mês (%),Variação no Ano (%),Variação 12 Meses (%)
IDkA - Pré 1A,30/12/2005,"1,000.000000",,,,
IDkA - Pré 1A,02/01/2006,"1,000.587537",0.0588,0.0588,0.0588,
IDkA - Pré 1A,03/01/2006,"1,001.251523",0.0664,0.1252,0.1252,
IDkA - Pré 1A,04/01/2006,"1,002.062889",0.0810,0.2063,0.2063,
IDkA - Pré 1A,05/01/2006,"1,002.670086",0.0606,0.2670,0.2670,
IDkA - Pré 1A,06/01/2006,"1,003.478185",0.0806,0.3478,0.3478,
IDkA - Pré 1A,09/01/2006,"1,004.500747",0.1019,0.4501,0.4501,
IDkA - Pré 1A,10/01/2006,"1,006.125230",0.1617,0.6125,0.6125,
IDkA - Pré 1A,11/01/2006,"1,006.881333",0.0751,0.6881,0.6881,
IDkA - Pré 1A,12/01/2006,"1,007.676140",0.0789,0.7676,0.7676,
IDkA - Pré 1A,13/01/2006,"1,008.918347",0.1233,0.8918,0.8918,
IDkA - Pré 1A,16/01/2006,"1,010.178897",0.1249,1.0179,1.0179,
IDkA - Pré 1A,17/01/2006,"1,010.991978",0.0805,1.0992,1.0992,
IDkA - Pré 1A,18/01/2006,"1,011.252193",0.0257,1.1252,1.1252,
IDkA - Pré 1A,19/01/2006,"1,013.205525",0.1932,1.3206,1.3206,
IDkA - Pré 1A,20/01/2006,"1,014.083125",0.0866,1.4083,1.4083,
IDkA - Pré 1A,23/01/2006,"1,014.274596",0.0189,1.4275,1.4275,
IDkA - Pré 1A,24/01/2006,"1,014.510440",0.0233,1.4510,1.4510,
IDkA - Pré 1A,25/01/2006,"1,015.171096",0.0651,1.5171,1.5171,
IDkA - Pré 1A,26/01/2006,"1,015.936501",0.0754,1.5937,1.5937,
IDkA - Pré 1A,27/01/2006,"1,016.825728",0.0875,1.6826,1.6826,
IDkA - Pré 1A,30/01/2006,"1,017.199936",0.0368,1.7200,1.7200,
IDkA - Pré 1A,31/01/2006,"1,017.811009",0.0601,1.7811,1.7811,
IDkA - Pré 1A,01/02/2006,"1,018.437182",0.0615,0.0615,1.8437,
IDkA - Pré 1A,02/02/2006,"1,019.305990",0.0853,0.1469,1.9306,
IDkA - Pré 1A,03/02/2006,"1,020.829576",0.1495,0.2966,2.0830,
IDkA - Pré 1A,06/02/2006,"1,022.215308",0.1357,0.4327,2.2215,
IDkA - Pré 1A,07/02/2006,"1,022.447040",0.0227,0.4555,2.2447,
IDkA - Pré 1A,08/02/2006,"1,023.223960",0.0760,0.5318,2.3224,
IDkA - Pré 1A,09/02/2006,"1,023.827148",0.0589,0.5911,2.3827,
IDkA - Pré 1A,10/02/2006,"1,024.748804",0.0900,0.6816,2.4749,
IDkA - Pré 1A,13/02/2006,"1,025.838667",0.1064,0.7887,2.5839,
IDkA - Pré 1A,14/02/2006,"1,026.724430",0.0863,0.8757,2.6724,
IDkA - Pré 1A,15/02/2006,"1,027.472564",0.0729,0.9492,2.7473,
IDkA - Pré 1A,16/02/2006,"1,028.613138",0.1110,1.0613,2.8613,
IDkA - Pré 1A,17/02/2006,"1,030.187419",0.1530,1.2160,3.0187,
IDkA - Pré 1A,20/02/2006,"1,031.243598",0.1025,1.3198,3.1244,
IDkA - Pré 1A,21/02/2006,"1,031.137903",-0.0102,1.3094,3.1138,
IDkA - Pré 1A,22/02/2006,"1,032.382744",0.1207,1.4317,3.2383,
IDkA - Pré 1A,23/02/2006,"1,033.320649",0.0908,1.5238,3.3321,
IDkA - Pré 1A,24/02/2006,"1,033.968639",0.0627,1.5875,3.3969,
IDkA - Pré 1A,01/03/2006,"1,035.228244",0.1218,0.1218,3.5228,
IDkA - Pré 1A,02/03/2006,"1,036.211045",0.0949,0.2169,3.6211,
IDkA - Pré 1A,03/03/2006,"1,037.121472",0.0879,0.3049,3.7121,
IDkA - Pré 1A,06/03/2006,"1,037.578073",0.0440,0.3491,3.7578,
IDkA - Pré 1A,07/03/2006,"1,037.722118",0.0139,0.3630,3.7722,
IDkA - Pré 1A,08/03/2006,"1,037.570359",-0.0146,0.3483,3.7570,
IDkA - Pré 1A,09/03/2006,"1,039.020266",0.1397,0.4886,3.9020,
IDkA - Pré 1A,10/03/2006,"1,040.844979",0.1756,0.6650,4.0845,
IDkA - Pré 1A,13/03/2006,"1,042.146422",0.1250,0.7909,4.2146,
IDkA - Pré 1A,14/03/2006,"1,042.854019",0.0679,0.8593,4.2854,
IDkA - Pré 1A,15/03/2006,"1,043.994807",0.1094,0.9697,4.3995,
IDkA - Pré 1A,16/03/2006,"1,044.359436",0.0349,1.0049,4.4359,
IDkA - Pré 1A,17/03/2006,"1,044.610911",0.0241,1.0293,4.4611,
IDkA - Pré 1A,20/03/2006,"1,044.813050",0.0194,1.0488,4.4813,
IDkA - Pré 1A,21/03/2006,"1,044.514815",-0.0285,1.0200,4.4515,
IDkA - Pré 1A,22/03/2006,"1,045.642201",0.1079,1.1290,4.5642,
IDkA - Pré 1A,23/03/2006,"1,045.927912",0.0273,1.1566,4.5928,
IDkA - Pré 1A,24/03/2006,"1,046.235702",0.0294,1.1864,4.6236,
IDkA - Pré 1A,27/03/2006,"1,046.024253",-0.0202,1.1660,4.6024,
IDkA - Pré 1A,28/03/2006,"1,046.570849",0.0523,1.2188,4.6571,
IDkA - Pré 1A,29/03/2006,"1,047.874513",0.1246,1.3449,4.7875,
IDkA - Pré 1A,30/03/2006,"1,049.511865",0.1563,1.5033,4.9512,
IDkA - Pré 1A,31/03/2006,"1,050.423512",0.0869,1.5914,5.0424,
IDkA - Pré 1A,03/04/2006,"1,052.104434",0.1600,0.1600,5.2104,
IDkA - Pré 1A,04/04/2006,"1,052.747109",0.0611,0.2212,5.2747,
IDkA - Pré 1A,05/04/2006,"1,053.780267",0.0981,0.3196,5.3780,
IDkA - Pré 1A,06/04/2006,"1,054.302820",0.0496,0.3693,5.4303,
IDkA - Pré 1A,07/04/2006,"1,053.741131",-0.0533,0.3158,5.3741,
IDkA - Pré 1A,10/04/2006,"1,053.366973",-0.0355,0.2802,5.3367,
IDkA - Pré 1A,11/04/2006,"1,054.872752",0.1429,0.4236,5.4873,
IDkA - Pré 1A,12/04/2006,"1,056.320952",0.1373,0.5614,5.6321,
IDkA - Pré 1A,13/04/2006,"1,057.142237",0.0777,0.6396,5.7142,
IDkA - Pré 1A,17/04/2006,"1,057.832801",0.0653,0.7054,5.7833,
