Índice,Data de Referência,Número Índice,Variação Diária (%),Variação no Mês (%),Variação no Ano (%),Variação 12 Meses (%)
IDkA - Pré 3A,30/12/2005,"1,000.000000",,,,
IDkA - Pré 3A,02/01/2006,"1,000.207007",0.0207,0.0207,0.0207,
IDkA - Pré 3A,03/01/2006,"1,001.123937",0.0917,0.1124,0.1124,
IDkA - Pré 3A,04/01/2006,"1,006.955120",0.5825,0.6955,0.6955,
IDkA - Pré 3A,05/01/2006,"1,007.978511",0.1016,0.7979,0.7979,
IDkA - Pré 3A,06/01/2006,"1,008.738234",0.0754,0.8738,0.8738,
IDkA - Pré 3A,09/01/2006,"1,009.650084",0.0904,0.9650,0.9650,
IDkA - Pré 3A,10/01/2006,"1,011.438026",0.1771,1.1438,1.1438,
IDkA - Pré 3A,11/01/2006,"1,013.343684",0.1884,1.3344,1.3344,
IDkA - Pré 3A,12/01/2006,"1,015.238557",0.1870,1.5239,1.5239,
IDkA - Pré 3A,13/01/2006,"1,017.963056",0.2684,1.7963,1.7963,
IDkA - Pré 3A,16/01/2006,"1,022.984237",0.4933,2.2984,2.2984,
IDkA - Pré 3A,17/01/2006,"1,021.852334",-0.1106,2.1852,2.1852,
IDkA - Pré 3A,18/01/2006,"1,019.857932",-0.1952,1.9858,1.9858,
IDkA - Pré 3A,19/01/2006,"1,021.689937",0.1796,2.1690,2.1690,
IDkA - Pré 3A,20/01/2006,"1,022.322081",0.0619,2.2322,2.2322,
IDkA - Pré 3A,23/01/2006,"1,019.002983",-0.3247,1.9003,1.9003,
IDkA - Pré 3A,24/01/2006,"1,018.990214",-0.0013,1.8990,1.8990,
IDkA - Pré 3A,25/01/2006,"1,019.626410",0.0624,1.9626,1.9626,
IDkA - Pré 3A,26/01/2006,"1,023.186688",0.3492,2.3187,2.3187,
IDkA - Pré 3A,27/01/2006,"1,025.291180",0.2057,2.5291,2.5291,
IDkA - Pré 3A,30/01/2006,"1,026.707024",0.1381,2.6707,2.6707,
IDkA - Pré 3A,31/01/2006,"1,027.153915",0.0435,2.7154,2.7154,
IDkA - Pré 3A,01/02/2006,"1,026.882830",-0.0264,-0.0264,2.6883,
IDkA - Pré 3A,02/02/2006,"1,028.437321",0.1514,0.1249,2.8437,
IDkA - Pré 3A,03/02/2006,"1,032.507378",0.3958,0.5212,3.2507,
IDkA - Pré 3A,06/02/2006,"1,037.398278",0.4737,0.9974,3.7398,
IDkA - Pré 3A,07/02/2006,"1,037.638808",0.0232,1.0208,3.7639,
IDkA - Pré 3A,08/02/2006,"1,039.981640",0.2258,1.2489,3.9982,
IDkA - Pré 3A,09/02/2006,"1,043.389863",0.3277,1.5807,4.3390,
IDkA - Pré 3A,10/02/2006,"1,049.567021",0.5920,2.1821,4.9567,
IDkA - Pré 3A,13/02/2006,"1,055.551109",0.5701,2.7646,5.5551,
IDkA - Pré 3A,14/02/2006,"1,056.052891",0.0475,2.8135,5.6053,
IDkA - Pré 3A,15/02/2006,"1,054.205949",-0.1749,2.6337,5.4206,
IDkA - Pré 3A,16/02/2006,"1,059.845284",0.5349,3.1827,5.9845,
IDkA - Pré 3A,17/02/2006,"1,063.883836",0.3811,3.5759,6.3884,
IDkA - Pré 3A,20/02/2006,"1,064.562763",0.0638,3.6420,6.4563,
IDkA - Pré 3A,21/02/2006,"1,059.680181",-0.4586,3.1666,5.9680,
IDkA - Pré 3A,22/02/2006,"1,062.513967",0.2674,3.4425,6.2514,
IDkA - Pré 3A,23/02/2006,"1,062.270691",-0.0229,3.4188,6.2271,
IDkA - Pré 3A,24/02/2006,"1,061.063380",-0.1137,3.3013,6.1063,
IDkA - Pré 3A,01/03/2006,"1,065.601686",0.4277,0.4277,6.5602,
IDkA - Pré 3A,02/03/2006,"1,068.277885",0.2511,0.6799,6.8278,
IDkA - Pré 3A,03/03/2006,"1,069.034500",0.0708,0.7512,6.9034,
IDkA - Pré 3A,06/03/2006,"1,065.862993",-0.2967,0.4523,6.5863,
IDkA - Pré 3A,07/03/2006,"1,059.437704",-0.6028,-0.1532,5.9438,
IDkA - Pré 3A,08/03/2006,"1,054.060361",-0.5076,-0.6600,5.4060,
IDkA - Pré 3A,09/03/2006,"1,056.487799",0.2303,-0.4312,5.6488,
IDkA - Pré 3A,10/03/2006,"1,060.438268",0.3739,-0.0589,6.0438,
