Índice,Data de Referência,Número Índice,Variação Diária (%),Variação no Mês (%),Variação no Ano (%),Variação 12 Meses (%)
IDkA - Pré 5A,30/12/2005,"1,000.000000",,,,
IDkA - Pré 5A,02/01/2006,999.307907,-0.0692,-0.0692,-0.0692,
IDkA - Pré 5A,03/01/2006,"1,000.834084",0.1527,0.0834,0.0834,
IDkA - Pré 5A,04/01/2006,"1,009.123997",0.8283,0.9124,0.9124,
IDkA - Pré 5A,05/01/2006,"1,010.681772",0.1544,1.0682,1.0682,
IDkA - Pré 5A,06/01/2006,"1,010.756441",0.0074,1.0756,1.0756,
IDkA - Pré 5A,09/01/2006,"1,012.198078",0.1426,1.2198,1.2198,
IDkA - Pré 5A,10/01/2006,"1,015.548825",0.3310,1.5549,1.5549,
IDkA - Pré 5A,11/01/2006,"1,018.168184",0.2579,1.8168,1.8168,
IDkA - Pré 5A,12/01/2006,"1,020.280154",0.2074,2.0280,2.0280,
IDkA - Pré 5A,13/01/2006,"1,024.722597",0.4354,2.4723,2.4723,
IDkA - Pré 5A,16/01/2006,"1,032.067357",0.7168,3.2067,3.2067,
IDkA - Pré 5A,17/01/2006,"1,028.686429",-0.3276,2.8686,2.8686,
IDkA - Pré 5A,18/01/2006,"1,024.998055",-0.3586,2.4998,2.4998,
IDkA - Pré 5A,19/01/2006,"1,027.367393",0.2312,2.7367,2.7367,
IDkA - Pré 5A,20/01/2006,"1,027.959611",0.0576,2.7960,2.7960,
IDkA - Pré 5A,23/01/2006,"1,022.831124",-0.4989,2.2831,2.2831,
IDkA - Pré 5A,24/01/2006,"1,023.354220",0.0511,2.3354,2.3354,
IDkA - Pré 5A,25/01/2006,"1,023.717856",0.0355,2.3718,2.3718,
IDkA - Pré 5A,26/01/2006,"1,029.746745",0.5889,2.9747,2.9747,
IDkA - Pré 5A,27/01/2006,"1,033.139595",0.3295,3.3140,3.3140,
IDkA - Pré 5A,30/01/2006,"1,036.259293",0.3020,3.6259,3.6259,
IDkA - Pré 5A,31/01/2006,"1,037.411402",0.1112,3.7411,3.7411,
IDkA - Pré 5A,01/02/2006,"1,036.383176",-0.0991,-0.0991,3.6383,
IDkA - Pré 5A,02/02/2006,"1,038.947784",0.2475,0.1481,3.8948,
IDkA - Pré 5A,03/02/2006,"1,045.178701",0.5997,0.7487,4.5179,
IDkA - Pré 5A,06/02/2006,"1,053.703987",0.8157,1.5705,5.3704,
IDkA - Pré 5A,07/02/2006,"1,054.171771",0.0444,1.6156,5.4172,
IDkA - Pré 5A,08/02/2006,"1,059.227209",0.4796,2.1029,5.9227,
IDkA - Pré 5A,09/02/2006,"1,066.464535",0.6833,2.8005,6.6465,
IDkA - Pré 5A,10/02/2006,"1,081.948066",1.4519,4.2931,8.1948,
IDkA - Pré 5A,13/02/2006,"1,095.771119",1.2776,5.6255,9.5771,
IDkA - Pré 5A,14/02/2006,"1,095.657529",-0.0104,5.6146,9.5658,
