Índice,Data de Referência,Número Índice,Variação Diária (%),Variação no Mês (%),Variação no Ano (%),Variação 12 Meses (%)
IDkA - Pré 2A,30/12/2005,"1,000.000000",,,,
IDkA - Pré 2A,02/01/2006,"1,000.512271",0.0512,0.0512,0.0512,
IDkA - Pré 2A,03/01/2006,"1,001.166084",0.0653,0.1166,0.1166,
IDkA - Pré 2A,04/01/2006,"1,004.456279",0.3286,0.4456,0.4456,
IDkA - Pré 2A,05/01/2006,"1,005.124458",0.0665,0.5124,0.5124,
IDkA - Pré 2A,06/01/2006,"1,005.915866",0.0787,0.5916,0.5916,
IDkA - Pré 2A,09/01/2006,"1,007.002321",0.1080,0.7002,0.7002,
IDkA - Pré 2A,10/01/2006,"1,008.831232",0.1816,0.8831,0.8831,
IDkA - Pré 2A,11/01/2006,"1,010.107554",0.1265,1.0108,1.0108,
IDkA - Pré 2A,12/01/2006,"1,011.372098",0.1252,1.1372,1.1372,
IDkA - Pré 2A,13/01/2006,"1,013.444902",0.2049,1.3445,1.3445,
IDkA - Pré 2A,16/01/2006,"1,016.468163",0.2983,1.6468,1.6468,
IDkA - Pré 2A,17/01/2006,"1,016.591743",0.0122,1.6592,1.6592,
IDkA - Pré 2A,18/01/2006,"1,015.817464",-0.0762,1.5817,1.5817,
IDkA - Pré 2A,19/01/2006,"1,017.959912",0.2109,1.7960,1.7960,
IDkA - Pré 2A,20/01/2006,"1,018.765242",0.0791,1.8765,1.8765,
IDkA - Pré 2A,23/01/2006,"1,016.996906",-0.1736,1.6997,1.6997,
IDkA - Pré 2A,24/01/2006,"1,016.856971",-0.0138,1.6857,1.6857,
IDkA - Pré 2A,25/01/2006,"1,017.580598",0.0712,1.7581,1.7581,
IDkA - Pré 2A,26/01/2006,"1,019.750952",0.2133,1.9751,1.9751,
IDkA - Pré 2A,27/01/2006,"1,021.215880",0.1437,2.1216,2.1216,
IDkA - Pré 2A,30/01/2006,"1,021.856230",0.0627,2.1856,2.1856,
IDkA - Pré 2A,31/01/2006,"1,022.101065",0.0240,2.2101,2.2101,
IDkA - Pré 2A,01/02/2006,"1,022.251252",0.0147,0.0147,2.2251,
IDkA - Pré 2A,02/02/2006,"1,023.363786",0.1088,0.1235,2.3364,
IDkA - Pré 2A,03/02/2006,"1,026.308441",0.2877,0.4116,2.6308,
IDkA - Pré 2A,06/02/2006,"1,029.414703",0.3027,0.7155,2.9415,
IDkA - Pré 2A,07/02/2006,"1,029.556533",0.0138,0.7294,2.9557,
IDkA - Pré 2A,08/02/2006,"1,030.744974",0.1154,0.8457,3.0745,
IDkA - Pré 2A,09/02/2006,"1,032.406013",0.1611,1.0082,3.2406,
IDkA - Pré 2A,10/02/2006,"1,034.900785",0.2416,1.2523,3.4901,
IDkA - Pré 2A,13/02/2006,"1,037.691446",0.2697,1.5253,3.7691,
IDkA - Pré 2A,14/02/2006,"1,038.530811",0.0809,1.6074,3.8531,
IDkA - Pré 2A,15/02/2006,"1,038.330824",-0.0193,1.5879,3.8331,
IDkA - Pré 2A,16/02/2006,"1,041.587136",0.3136,1.9065,4.1587,
